"","variale","label"
"DR1TZINC","DR1TZINC","Zinc (mg)"
"DR1TCOPP","DR1TCOPP","Copper (mg)"
"DR1TSODI","DR1TSODI","Sodium (mg)"
"DR1TPOTA","DR1TPOTA","Potassium (mg)"
"DR1TSELE","DR1TSELE","Selenium (mcg)"
"DR1TCAFF","DR1TCAFF","Caffeine (mg)"
"DR1TTHEO","DR1TTHEO","Theobromine (mg)"
"DR1TALCO","DR1TALCO","Alcohol (gm)"
"DR1TMOIS","DR1TMOIS","Moisture (gm)"
"DR1TS040","DR1TS040","SFA 4:0 (Butanoic) (gm)"
"DR1TS060","DR1TS060","SFA 6:0 (Hexanoic) (gm)"
"DR1TS080","DR1TS080","SFA 8:0 (Octanoic) (gm)"
"DR1TS100","DR1TS100","SFA 10:0 (Decanoic) (gm)"
"DR1TS120","DR1TS120","SFA 12:0 (Dodecanoic) (gm)"
"DR1TS140","DR1TS140","SFA 14:0 (Tetradecanoic) (gm)"
"DR1TS160","DR1TS160","SFA 16:0 (Hexadecanoic) (gm)"
"DR1TS180","DR1TS180","SFA 18:0 (Octadecanoic) (gm)"
"DR1TM161","DR1TM161","MFA 16:1 (Hexadecenoic) (gm)"
"DR1TM181","DR1TM181","MFA 18:1 (Octadecenoic) (gm)"
"DR1TM201","DR1TM201","MFA 20:1 (Eicosenoic) (gm)"
"DR1TM221","DR1TM221","MFA 22:1 (Docosenoic) (gm)"
"DR1TP182","DR1TP182","PFA 18:2 (Octadecadienoic) (gm)"
"DR1TP183","DR1TP183","PFA 18:3 (Octadecatrienoic) (gm)"
"DR1TP184","DR1TP184","PFA 18:4 (Octadecatetraenoic) (gm)"
"DR1TP204","DR1TP204","PFA 20:4 (Eicosatetraenoic) (gm)"
"DR1TP205","DR1TP205","PFA 20:5 (Eicosapentaenoic) (gm)"
"DR1TP225","DR1TP225","PFA 22:5 (Docosapentaenoic) (gm)"
"DR1TP226","DR1TP226","PFA 22:6 (Docosahexaenoic) (gm)"
"DRD340","DRD340","Shellfish eaten during past 30 days"
"DRD360","DRD360","Fish eaten during past 30 days"
"DRABF","DRABF","Breast-fed infant (either day)"
"DR1MRESP","DR1MRESP","Main respondent for this interview"
"DR1HELP","DR1HELP","Helped in responding for this interview"
"WTDR2D","WTDR2D","Dietary two-day sample weight"
"DRDINT","DRDINT","Number of days of intake"
"DR1TNUMF","DR1TNUMF","Number of foods/beverages reported"
"DR1_320Z","DR1_320Z","Total plain water drank yesterday (gm)"
"DR1_330Z","DR1_330Z","Total tap water drank yesterday (gm)"
"DR1BWATZ","DR1BWATZ","Total bottled water drank yesterday (gm)"
"DR1EXMER","DR1EXMER","Interviewer ID code"
"DR1DAY","DR1DAY","Intake day of the week"
"DBQ095Z","DBQ095Z","Type of table salt used"
"DRQSPREP","DRQSPREP","Salt used in preparation?"
"DR1STY","DR1STY","Salt used at table yesterday?"
"DRQSDIET","DRQSDIET","On special diet?"
"DR1_300","DR1_300","Compare food consumed yesterday to usual"
"DR1TWSZ","DR1TWSZ","Tap water source"
"DR1LANG","DR1LANG","Language respondent used mostly"
"RIAGENDR","RIAGENDR","Gender"
"INDFMPIR","INDFMPIR","Ratio of family income to poverty"
"DMDMARTZ","DMDMARTZ","Marital status"
"RIDAGEYR","RIDAGEYR","Age in years at screening"
"RIDRETH1","RIDRETH1","Race/Hispanic origin"
"RIDRETH3","RIDRETH3","Race/Hispanic origin w/ NH Asian"
"BMXBMI","BMXBMI","Body Mass Index (kg/m**2)"
"BMXWAIST","BMXWAIST","Waist Circumference (cm)"
"ALQ111","ALQ111","Ever had a drink of any kind of alcohol"
"ALQ121","ALQ121","Past 12 mos how often drink alc bev"
